Step,State Stack,Input,Action,Detail
112,0 13 36 67 5 24 47 7 31 62 5 24 47 24 47,read ( id ) ; end ...,SHIFT,shift to state 11
113,0 13 36 67 5 24 47 7 31 62 5 24 47 24 47 11,( id ) ; end . ...,SHIFT,shift to state 35
114,0 13 36 67 5 24 47 7 31 62 5 24 47 24 47 11 35,id ) ; end . $,SHIFT,shift to state 66
115,0 13 36 67 5 24 47 7 31 62 5 24 47 24 47 11 35 66,) ; end . $,SHIFT,shift to state 87
116,0 13 36 67 5 24 47 7 31 62 5 24 47 24 47 11 35 66 87,; end . $,REDUCE,"reduce by r21: Statement → read ( id )  → GOTO(47, Statement) = 24"
117,0 13 36 67 5 24 47 7 31 62 5 24 47 24 47 24,; end . $,SHIFT,shift to state 47
118,0 13 36 67 5 24 47 7 31 62 5 24 47 24 47 24 47,end . $,REDUCE,"reduce by r27: StmtList → eps  → GOTO(47, StmtList) = 73"
119,0 13 36 67 5 24 47 7 31 62 5 24 47 24 47 24 47 73,end . $,REDUCE,"reduce by r24: StmtList → Statement ; StmtList  → GOTO(47, StmtList) = 73"
120,0 13 36 67 5 24 47 7 31 62 5 24 47 24 47 73,end . $,REDUCE,"reduce by r24: StmtList → Statement ; StmtList  → GOTO(47, StmtList) = 73"
121,0 13 36 67 5 24 47 7 31 62 5 24 47 73,end . $,REDUCE,"reduce by r24: StmtList → Statement ; StmtList  → GOTO(5, StmtList) = 23"
122,0 13 36 67 5 24 47 7 31 62 5 23,end . $,SHIFT,shift to state 46
123,0 13 36 67 5 24 47 7 31 62 5 23 46,. $,REDUCE,"reduce by r18: Statement → begin StmtList end  → GOTO(62, Statement) = 83"
124,0 13 36 67 5 24 47 7 31 62 83,. $,REDUCE,"reduce by r20: Statement → while Condition do Statement  → GOTO(47, Statement) = 24"
125,0 13 36 67 5 24 47 24,. $,ERROR,No action for .
