State,#,$,(,),*,+,",",-,.,/,:=,;,<,<=,=,>,>=,begin,call,const,do,end,id,if,num,odd,procedure,read,then,var,while,write,Block,Condition,ConstDecl,ConstRest,Expression,Factor,FactorList,ProcDecl,ProcDecls,Program,RelOp,Sign,Statement,StmtList,Term,TermList,VarDecl,VarRest
22,,,,,,,,,,,,s22,,,,,,s5,s3,,,r27,s2,s6,,,,s11,,,s7,s9,,,,,,,,,,,,,45,44,,,,
23,,,,,,,,,,,,,,,,,,,,,,s46,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,,,,,,,,,,,,s47,,,,,,,,,,r23,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,,,s51,,,,,,,,,,,,,,,,,,,,s48,,s49,,,,,,,,,,,,,50,,,,,,,,,52,,,
26,,,r37,,,,,,,,,,,,,,,,,,,,r37,,r37,,,,,,,,,,,,,,,,,,,,,,,,,
27,,,r38,,,,,,,,,,,,,,,,,,,,r38,,r38,,,,,,,,,,,,,,,,,,,,,,,,,
28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s53,,,,,,,,,,,,,,,,,,,,,
29,,,r39,,,s26,,s27,,,,,,,,,,,,,,,r39,,r39,,,,,,,,,,,,54,,,,,,,25,,,,,,
30,s55,,,,,,,,,,,,s56,s58,s61,s59,s60,,,,,,,,,,,,,,,,,,,,,,,,,,57,,,,,,,
31,,,,,,,,,,,,,,,,,,,,,s62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,,,,,,,s64,,,,,r12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63
33,,,r39,,,s26,,s27,,,,,,,,,,,,,,,r39,,r39,,,,,,,,,,,,65,,,,,,,25,,,,,,
34,,r1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,,,,,,,,,,,,,,,,,,,,,,,s66,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,,,,,,,,,r14,,,r14,,,,,,r14,r14,,,,r14,r14,,,s15,r14,,,r14,r14,,,,,,,,14,67,,,,,,,,,
37,,,,,,,,,,,,,,,,,,s5,s3,,,,s2,s6,,,,s11,,,s7,s9,,,,,,,,,,,,,68,,,,,
38,,,,,,,,,r13,,,r13,,,,,,r13,r13,,,,r13,r13,,,,r13,,,r13,r13,,,,,,,,,,,,,,,,,,
39,,,,,,,,,,,,s69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,,,,,,,,,r5,,,r5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,,,,,,,,,r4,,,r4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,,,,,,,,,r16,,,r16,,,,,,,,,,r16,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,,,,,,,,,,,,,,,,,,,,,,,,,s70,,,,,,,,,,,,,,,,,,,,,,,,,
44,,,,,,,,,,,,,,,,,,,,,,r26,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,,,,,,,,,,,,s71,,,,,,s5,s3,,,r27,s2,s6,,,,s11,,,s7,s9,,,,,,,,,,,,,24,72,,,,
46,,,,,,,,,r18,,,r18,,,,,,,,,,r18,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,,,,,,,,,,,,s22,,,,,,s5,s3,,,r27,s2,s6,,,,s11,,,s7,s9,,,,,,,,,,,,,24,73,,,,
48,r47,,,r47,r47,r47,,r47,r47,r47,,r47,r47,r47,r47,r47,r47,,,,r47,r47,,,,,,,r47,,,,,,,,,,,,,,,,,,,,,
49,r48,,,r48,r48,r48,,r48,r48,r48,,r48,r48,r48,r48,r48,r48,,,,r48,r48,,,,,,,r48,,,,,,,,,,,,,,,,,,,,,
50,r46,,,r46,s74,r46,,r46,r46,s75,,r46,r46,r46,r46,r46,r46,,,,r46,r46,,,,,,,r46,,,,,,,,,,76,,,,,,,,,,,
51,,,r39,,,s26,,s27,,,,,,,,,,,,,,,r39,,r39,,,,,,,,,,,,77,,,,,,,25,,,,,,
52,r42,,,r42,,s79,,s80,r42,,,r42,r42,r42,r42,r42,r42,,,,r42,r42,,,,,,,r42,,,,,,,,,,,,,,,,,,,78,,
53,,,,,,,,,,,,,,,,,,s5,s3,,,,s2,s6,,,,s11,,,s7,s9,,,,,,,,,,,,,81,,,,,
54,,,,,,,,,,,,,,,,,,,,,r28,,,,,,,,r28,,,,,,,,,,,,,,,,,,,,,
55,,,r31,,,r31,,r31,,,,,,,,,,,,,,,r31,,r31,,,,,,,,,,,,,,,,,,,,,,,,,
56,,,r32,,,r32,,r32,,,,,,,,,,,,,,,r32,,r32,,,,,,,,,,,,,,,,,,,,,,,,,
57,,,r39,,,s26,,s27,,,,,,,,,,,,,,,r39,,r39,,,,,,,,,,,,82,,,,,,,25,,,,,,
58,,,r33,,,r33,,r33,,,,,,,,,,,,,,,r33,,r33,,,,,,,,,,,,,,,,,,,,,,,,,
59,,,r34,,,r34,,r34,,,,,,,,,,,,,,,r34,,r34,,,,,,,,,,,,,,,,,,,,,,,,,
60,,,r35,,,r35,,r35,,,,,,,,,,,,,,,r35,,r35,,,,,,,,,,,,,,,,,,,,,,,,,
61,,,r30,,,r30,,r30,,,,,,,,,,,,,,,r30,,r30,,,,,,,,,,,,,,,,,,,,,,,,,
